date,open,high,low,close,volume,mktcap
2017-02-01,0.006311,0.006642,0.006249,0.006540000000000001,1836820,232609000
2017-02-02,0.006540000000000001,0.00663,0.006381,0.006469,670888,241026000
2017-02-03,0.0064659999999999995,0.006509999999999999,0.0064010000000000004,0.006474,548263,238302000
2017-02-04,0.006487000000000001,0.006528,0.006429000000000001,0.006492,314187,239094000
2017-02-05,0.006494,0.006562999999999999,0.006403,0.006442,367001,239337000
2017-02-06,0.006439,0.006494,0.006397,0.00645,386766,237318000
2017-02-07,0.006437000000000001,0.006509,0.006378,0.0064069999999999995,945440,237240000
2017-02-08,0.0064069999999999995,0.007833,0.006402,0.006437999999999999,860217,236123000
2017-02-09,0.0064329999999999995,0.006484,0.006193,0.006374,1700680,237091000
2017-02-10,0.006367,0.0067,0.0061920000000000005,0.006289,808768,235873000
2017-02-11,0.00629,0.0063950000000000005,0.006273,0.006333,334607,232996000
2017-02-12,0.0063289999999999996,0.006364,0.006268999999999999,0.006268999999999999,230479,234436000
2017-02-13,0.006267,0.006338,0.006228,0.006251,462843,232161000
2017-02-14,0.00624,0.006352,0.00624,0.006278,671150,231161000
2017-02-15,0.006279,0.006302,0.006095000000000001,0.006147,813299,232611000
2017-02-16,0.006138,0.0062439999999999996,0.005988,0.006027,1355840,227363000
2017-02-17,0.005939,0.006095000000000001,0.005872,0.005935,1160600,220014000
2017-02-18,0.005949,0.006014,0.005427,0.005569,1866850,220370000
2017-02-19,0.005589,0.0058920000000000005,0.00557,0.005878,896856,207033000
2017-02-20,0.005879,0.005949,0.0057399999999999994,0.005873,880117,217802000
2017-02-21,0.005871,0.005909,0.0057350000000000005,0.005832,653081,217476000
2017-02-22,0.005849,0.005887,0.005817,0.00586,500712,216670000
2017-02-23,0.005856,0.005943,0.005797999999999999,0.005895,750533,216920000
2017-02-24,0.005883,0.005919,0.005644,0.0057009999999999995,1343690,218525000
2017-02-25,0.0057,0.005743,0.005628,0.005665,684577,211712000
2017-02-26,0.005664,0.005733,0.005651,0.005671,258373,210392000
2017-02-27,0.005665,0.005696,0.005608,0.005609,641126,210425000
